,0
0,https://www.snopes.com/fact-check/contaminated-capriccio-sangria/
1,https://www.snopes.com/fact-check/clinton-trump-deplorables-america/
2,https://www.snopes.com/fact-check/eddie-murphy-death-hoax/
3,https://www.snopes.com/fact-check/were-ar-15s-used-mass-shooting-aurora/
4,https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/
5,https://www.snopes.com/fact-check/jeff-rothschild-third-world-war/
6,https://www.snopes.com/fact-check/is-this-plane-crash-havana-cuba/
7,https://www.snopes.com/fact-check/oklahoma-woman-killed-pack-small-dachshunds/
8,https://www.snopes.com/fact-check/will-louisiana-evict-nursing-home-patients/
9,https://www.snopes.com/fact-check/did-ducks-obey-traffic-light/
10,https://www.snopes.com/fact-check/woman-pregnant-eating-squid/
11,https://www.snopes.com/fact-check/nikola-tesla-swimming-instructor/
12,https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
13,https://www.snopes.com/fact-check/canada-refugee-benefits/
14,https://www.snopes.com/fact-check/cut-onions-contamination/
15,https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
16,https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
17,https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
18,https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
19,https://www.snopes.com/fact-check/white-house-comment-line-trump/
20,https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
21,https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
22,https://www.snopes.com/fact-check/skiing-ostriches-real/
23,https://www.snopes.com/fact-check/trump-weight-girther-leaked-documents/
24,https://www.snopes.com/fact-check/president-donald-trump-tweet-mothers-day-fathers/
25,https://www.snopes.com/fact-check/klanbake-1924-democratic-convention/
26,https://www.snopes.com/fact-check/can-coconut-water-substitute-blood-plasma/
27,https://www.snopes.com/fact-check/did-maxine-waters-say-impeach-trump/
28,https://www.snopes.com/fact-check/did-fisher-price-release-tiny-toker/
29,https://www.snopes.com/fact-check/sarah-huckabee-sanders-voted-among-admired-women-united-states/
30,https://www.snopes.com/fact-check/lottery-winner-arrested-dumping-200000-manure-lawn-former-boss/
31,https://www.snopes.com/fact-check/blue-bow-trout-real/
32,https://www.snopes.com/fact-check/woman-say-theme-park-fat-shamed-couldnt-fit-ride/
33,https://www.snopes.com/fact-check/is-rep-dingell-gun-confiscation-bill/
34,https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
35,https://www.snopes.com/fact-check/canada-refugee-benefits/
36,https://www.snopes.com/fact-check/cut-onions-contamination/
37,https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
38,https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
39,https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
40,https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
41,https://www.snopes.com/fact-check/white-house-comment-line-trump/
42,https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
43,https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
44,https://www.snopes.com/fact-check/are-people-adopting-pit-bulls-euthanizing/
45,https://www.snopes.com/fact-check/military-spouses-white-house/
46,https://www.snopes.com/fact-check/was-palestine-permission-compete-eurovision-2019/
47,https://www.snopes.com/fact-check/illegals-lining-vote-battsville-arizona/
48,https://www.snopes.com/fact-check/cannibal-diet-zambia-arrest/
49,https://www.snopes.com/fact-check/man-carry-horse-snakebite/
50,https://www.snopes.com/fact-check/brazil-mothers-day-robbery/
51,https://www.snopes.com/fact-check/ayatollah-khamenei-share-picture-reading-fire-fury/
52,https://www.snopes.com/fact-check/was-sen-john-mccain-a-hanoi-hilton-songbird/
53,https://www.snopes.com/fact-check/united-states-navy-shoot-iranian-passenger-jet-1988-killing-290-civilians/
54,https://www.snopes.com/fact-check/is-this-asian-giant-hornet/
55,https://www.snopes.com/fact-check/did-educator-say-ask-babies-permission/
56,https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
57,https://www.snopes.com/fact-check/canada-refugee-benefits/
58,https://www.snopes.com/fact-check/cut-onions-contamination/
