	claim	label
0	Capriccio Bubbly Sangria beverages are contaminated with HIV.	false
1	"Speaking at the University of California Berkeley in May 2018, Hillary Clinton warned about ""Trump deplorables,"" calling them ""the biggest threats to America."""	false
2	Actor/comedia Eddie Murphy died in a car crash in 2018.	false
3	AR-15 rifles were used to commit every major mass shooting in the United States since a 2012 attack in an Aurora, Colorado movie theater.	true
4	"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise on human time scales."	false
5	"Facebook vice president Jeff Rothschild said ""In order to finalize the New World Order process we need a 3rd world war to exterminate 90% of the world's population."""	false
6	Images show the aftermath of a plane crash in Havana, Cuba in May 2018.	false
7	A woman in Oklahoma was killed by a pack of small dachshunds.	true
8	Louisiana will evict elderly people from nursing homes because Medicaid funds ran out.	false
9	A video shows a group of ducks patiently waiting at a traffic light.	false
10	A woman in South Korea was impregnated via mouth after eating a squid.	false
11	A photograph shows Nikola Tesla working as a swim instructor on a New York beach near the end of the 19th century.	false
12	A video shows a group of ostriches skiing down a mountain.	false
13	"The ""Wall Street Journal"" (or another large news outlet) has published documents leaked from Walter Reed Medical Center which show President Donald Trump's ""true"" weight and prove a conspiracy to mislead the public."	false
14	"President Trump tweeted that there should be a Mother's Day for fathers, but ""the liberal media won't let that happen."""	false
15	"The Ku Klux Klan held a march and rally at the 1924 Democratic National Convention, which was thereafter popularly known as the ""Klanbake."""	false
16	Coconut water can be used as an intravenous substitute for blood plasma.	false
17	Maxine Waters told CNN that her first act if elected president would be to impeach Donald Trump.	false
18	"Fisher-Price manufactured a ""Tiny Toker"" toyset featuring a toy bong and other marijuana paraphernalia."	false
19	"In 2018, White House Press Secretary Sarah Huckabee Sanders was listed as one of the 10 ""most admired"" women in the United States."	true
20	A lottery winner was arrested after he spent $200,000 to dump manure on his ex-boss's lawn.	false
21	"A photograph shows the first ""blue bow trout"" caught in Pennsylvania."	false
22	"A woman claimed she was ""fat shamed"" by a Harry Potter-themed ride after getting kicked off."	false
23	Rep. Debbie Dingell is introducing a bill that would lead to widespread gun confiscations.	false
24	People are adopting pit bulls with the express goal of euthanizing them, and then bragging about it on the Internet with the hashtag #PitbullDropOff.	false
25	Image depicts a military spouses gathering at the White House, and no people of color were included.	false
26	Palestine will compete in Eurovision 2019.	false
27	A photograph captures undocumented immigrants lining up to vote in Battsville, Arizona.	false
28	A man in Zambia was arrested after proclaiming he had employed a 'cannibal diet' to lose weight.	false
29	A man carried his horse for three miles after it was bitten by a venomous snake.	false
30	Video captures a woman who thwarted and subdued an armed man attempting to rob attendees of a Mother's Day event.	true
31	"Ayatollah Ali Khamenei shared a photo of himself reading Michael Wolff’s ""Fire and Fury."""	true
32	"Sen. John McCain was referred to as ""Songbird John"" following his imprisonment during the Vietnam War."	false
33	In 1988, the U.S. Navy shot down an Iranian passenger jet, killing 290 civilians; Some members of the crew that shot the plane down were later awarded medals, and the United States has not formally apologized for the event.	true
34	An image shows an Asian giant hornet, a large insect with a potentially deadly sting.	false
35	Sexuality educator Deanne Carson said parents should ask a baby's permission before changing their diaper.	false
36	A photograph captures a couple kissing amidst the 1971 May Day protests.	false
37	"The Boy Scouts of America lost 425,000 members in May 2018, in response to a decision to integrate more girls into the organization, and to give the ""Boy Scouts"" program a new, gender-neutral name."	false
38	A vintage Heineken advertisement showed a toddler drinking a beer and boasted about having the youngest customers in the business.	false
39	The mayor of London encouraged muslims to riot during President Donald Trump's visit to the U.K	false
40	Sarah Huckabee Sanders has lost the confidence of the President and will be replaced.	false
41	"An Oakland A's shortstop laid on his back during the playing of the national anthem, while wearing a shirt reading ""Kill the NRA."""	false
42	Doctors concluded that a large spider made its way into a woman's uterus after it got stuck inside her tampon.	false
43	"First Lady Melania Trump recent ""hit"" her husband with a ""shocking announcement."""	false
44	The McDonald’s fast food chain announced they will be phasing out the Big Mac by July 1.	false
45	"In May 2018, the Colorado House of Representatives passed a ""gun confiscation"" bill."	false
46	A photograph shows President Barack Obama bowing to Iran's supreme leader Ali Khamenei.	false
47	A meme circulating online shows the average minimum wages in France, Australia, and the U.S. as well as the average cost of a Big Mac in each country.	false
48	"Major General Paul Eaton said President Trump's decertification of an existing nuclear deal with Iran deal ""dishonors America."""	false
49	President Trump's decision to reverse the Iran nuclear deal will cost 100,000 Boeing jobs.	false
50	"Police raided a daycare center in Washington, D.C., on suspicion that it was ""pimping children"" to ""high-society pedophiles."""	false
51	A photograph shows a twelve-pound rat that was caught in London.	false
52	"In May 2018, Pope Francis said people who own guns were ""hypocrites"" and could no longer call themselves Christians."	false
53	"Parkland school shooting suspect Nikolas Cruz has a ""connection"" to former president Barack Obama and his administration."	false
54	"The ""Deodorant Challenge"" is ""sweeping"" schools and playgrounds as of May 2018."	false
55	The legalization of marijuana will force police departments to euthanize their drug sniffing dogs.	false
56	Singer James Blunt once refused to follow orders that could have triggered World War III while serving with the British Army in Kosovo.	false
57	A meme reproduces Donald Trump's explanation of why Abraham Lincoln succeeded as a president.	true
58	"Melania Trump plagiarized a document from the Federal Trade Commission for her ""Be Best"" campaign."	false
59	"Rosie O'Donnell ""pled insanity"" after being caught violating individual election campaign contribution regulations."	false
60	North Korea is now allowing the open practice of Christianity.	false
61	Packaged vegetables from Mann Packing are being recalled due to concerns about listeria.	false
62	Schools are removing analog clocks because students no longer know how to tell time.	false
63	"A ""Welcome to Kansas City"" sign features an amusing, but unfortunate typo welcoming 25 million visitors ""anally,"" not ""annually."""	false
64	"A Democratic U.S. senator from Oregon ""pushed through"" a bill to eliminate all senior and veterans discounts."	false
65	The Obama administration failed to secure the release of three men being detained by North Korea in 2018.	false
